modified_Smelly_Classes,classsize,classtype,BugsAfterSmells,BugsBeforeSmells,Fixingcommits,Codechurn,commits<exhibitng,v2.5.7,v2.5.14,v2.5.17,v2.5.20,v2.5.21,v2.5.25,v3.0.1,v3.0.3,v3.1.1,v3.2.2,v3.2.6,v3.3.5,v3.4.0,v3.4.3,v3.4.4,v3.4.6,v3.4.8,v3.5.1,v3.6.5,v3.7.2,v3.7.5,v3.8.0,v3.8.3,v3.8.6,v3.8.13,v3.9.2,v3.9.7,v3.9.9,v3.9.12,v3.9.13,v3.9.14
/comcontent/controllers/featured.php,138,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/components/comcontent/helpers/content.php,269,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/comcontent/views/article/tmpl/edit.php,87,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/comcontent/views/article/view.html.php,80,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/comcontent/views/articles/tmpl/modal.php,84,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/comcontent/views/articles/view.html.php,80,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/comcontent/views/featured/view.html.php,80,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/components/comcpanel/controller.php,233,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
administrator/components/comcpanel/cpanel.php,175,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/comcpanel/views/cpanel/view.html.php,80,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/components/comfinder/controller.php,233,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
